2025-10-29 14:44:32 | INFO     | Trying direct fetch for #23 Joane Gadou (1075577) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/1075577
2025-10-29 14:44:32 | WARNING  | No valid stats for #2 Jeyland Mitchell (856068)
2025-10-29 14:44:32 | INFO     | Trying direct fetch for #22 Julius Beck (802512) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/802512
2025-10-29 14:44:34 | INFO     | Trying direct fetch for #4 John Mellberg (1072724) -> https://www.transfermarkt.com/leistungsdaten/spieler/1072724/saison/ges/
2025-10-29 14:44:39 | INFO     | Trying direct fetch for #4 Jon Gorenc Stankovic (245034) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/245034
2025-10-29 14:44:41 | INFO     | Trying direct fetch for #22 Julius Beck (802512) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/802512
2025-10-29 14:44:41 | INFO     | Trying direct fetch for #23 Joane Gadou (1075577) -> https://www.transfermarkt.de/leistungsdaten/spieler/1075577/saison/ges/
2025-10-29 14:44:42 | INFO     | Trying direct fetch for #4 John Mellberg (1072724) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/1072724
2025-10-29 14:44:47 | INFO     | Trying direct fetch for #4 Jon Gorenc Stankovic (245034) -> https://www.transfermarkt.com/leistungsdaten/spieler/245034/saison/ges/
2025-10-29 14:44:49 | WARNING  | No valid stats for #23 Joane Gadou (1075577)
2025-10-29 14:44:49 | INFO     | Trying direct fetch for Justin Omoregie (581880) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/581880
2025-10-29 14:44:49 | INFO     | Trying direct fetch for #22 Julius Beck (802512) -> https://www.transfermarkt.com/leistungsdaten/spieler/802512/saison/ges/
2025-10-29 14:44:50 | INFO     | Trying direct fetch for #4 John Mellberg (1072724) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/1072724
2025-10-29 14:44:56 | INFO     | Trying direct fetch for #4 Jon Gorenc Stankovic (245034) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/245034
2025-10-29 14:44:58 | INFO     | Trying direct fetch for Justin Omoregie (581880) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/581880
2025-10-29 14:44:58 | INFO     | Trying direct fetch for #22 Julius Beck (802512) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/802512
